PSAVERT,PCE,UEMPMED,POP,UNEMPLOY
10.4,1496.5,5.6,223670,6228
11.1,1502.4,5.9,223865,6109
11,1517.8,5.9,224053,6173
11.2,1531.2,5.9,224235,6109
11,1538.4,5.4,224438,6069
10.3,1558.8,5.6,224632,5840
9.8,1575.7,5.6,224843,5959
10.6,1586.1,5.9,225055,5996
9.7,1615.6,4.8,225295,6320
9.4,1633.9,5.5,225547,6190
9.7,1641.6,5.5,225801,6296
9.7,1657.3,5.3,226027,6238
10.1,1666.3,5.7,226243,6325
9.9,1697.3,5.3,226451,6683
10.1,1701.4,5.8,226656,6702
10.3,1708.2,6,226849,6729
11.4,1695.2,5.8,227061,7358
11.5,1700.1,5.7,227251,7984
11.3,1718.8,6.4,227522,8098
11.4,1747.1,7,227726,8363
11.4,1763.8,7.5,227953,8281
11.7,1780.5,7.7,228186,8021
11.3,1817.1,7.5,228417,8088
11.6,1826.8,7.7,228612,8023
11.4,1851.7,7.5,228779,7718
10.9,1870,7.4,228937,8071
10.8,1884.2,7.1,229071,8051
10.8,1902.9,7.1,229224,7982
10.8,1904.4,7.4,229403,7869
10.9,1913.8,6.9,229575,8174
10.8,1934.5,6.6,229761,8098
12.3,1942.1,7.1,229966,7863
12,1966.6,7.2,230187,8036
12.3,1965.5,6.8,230412,8230
12.9,1963.9,6.8,230641,8646
13,1970.6,6.9,230822,9029
12.4,1988.8,6.9,230989,9267
12.6,1997.1,7.1,231157,9397
12,2021.2,7.5,231313,9705
12.1,2024.1,7.7,231470,9895
12.8,2026.3,8.1,231645,10244
12.2,2044.5,8.5,231809,10335
12.2,2048.1,9.5,231992,10538
12.5,2072.2,8.5,232188,10849
12.5,2080.1,8.7,232392,10881
11.7,2104.6,9.5,232599,11217
11.2,2125.8,9.7,232816,11529
10.9,2149.3,10,232993,11938
10.9,2161.6,10.2,233160,12051
11.1,2174,11.1,233322,11534
11.2,2177,9.8,233473,11545
10.7,2202.8,10.4,233613,11408
10.3,2226.4,10.9,233781,11268
9.9,2245.9,12.3,233922,11154
9.2,2276,11.3,234118,11246
9.7,2304.4,10.1,234307,10548
9.2,2320.4,9.3,234501,10623
9.6,2334.9,9.3,234701,10282
9.7,2357.6,9.4,234907,9887
10.3,2366.3,9.3,235078,9499
10.1,2393.6,8.7,235235,9331
9.9,2419.4,9.1,235385,9008
11.6,2403.5,8.3,235527,8791
11.4,2431.6,8.3,235675,8746
11.4,2457.5,8.2,235839,8762
11,2474.5,9.1,235993,8456
11,2495.6,7.5,236160,8226
11.4,2494.6,7.5,236348,8537
11.7,2512.2,7.3,236549,8519
11.7,2533.8,7.6,236760,8367
11.6,2531.3,7.2,236976,8381
10.7,2571.4,7.2,237159,8198
11.1,2582.6,7.3,237316,8358
10.2,2618.8,6.8,237468,8423
8.9,2640.8,7.1,237602,8321
8.6,2648.5,7.1,237732,8339
9.8,2659.5,6.9,237900,8395
11,2696.4,6.9,238074,8302
9.6,2689.4,6.6,238270,8460
9.1,2715.7,6.9,238466,8513
8.1,2752.1,7.1,238679,8196
7.3,2794.7,6.9,238898,8248
9.1,2755.8,7.1,239113,8298
9,2771.1,7,239307,8128
8.6,2811.3,6.8,239477,8138
8.7,2827.1,6.7,239638,7795
9.3,2820.2,6.9,239788,8402
9.9,2823.6,6.8,239928,8383
9.7,2835.2,6.7,240094,8364
9.3,2857.5,6.8,240271,8439
9.4,2861.7,7,240459,8508
9.3,2881.2,6.9,240651,8319
8.9,2898.6,7.1,240854,8135
7.1,2971.8,7.4,241068,8310
8.3,2932.9,7,241274,8243
8.6,2928.4,7.1,241467,8159
6.8,2997.1,7.1,241620,7883
9.4,2935.5,6.9,241784,7892
8.2,3001.7,6.6,241930,7865
8.1,3013.3,6.6,242079,7862
4.1,3038.8,7.1,242252,7542
7.8,3048.4,6.6,242423,7574
7.3,3072.8,6.5,242608,7398
7.1,3094.7,6.5,242804,7268
6.8,3130.8,6.4,243012,7261
7.2,3126.5,6,243223,7102
7.9,3134.5,6.3,243446,7227
8.2,3144.2,6.2,243639,7035
8.4,3174.1,6,243809,6936
7.9,3213.7,6.2,243981,6953
8.4,3221.4,6.3,244131,6929
8,3260.5,6.4,244279,6876
8.7,3263,5.9,244445,6601
8.3,3293.6,5.9,244610,6779
8.4,3318.5,5.8,244806,6546
8.6,3342.7,6.1,245021,6605
8.4,3368,5.9,245240,6843
8.8,3375,5.7,245464,6604
8.6,3413.7,5.6,245693,6568
8.4,3430.2,5.7,245884,6537
8.3,3459.7,5.9,246056,6518
8.5,3483.7,5.6,246224,6682
8.9,3488,5.4,246378,6359
9.4,3498.8,5.4,246530,6205
8.3,3543,5.4,246721,6468
8,3551.8,5.3,246906,6375
8.1,3566.6,5.4,247114,6577
8.1,3585.7,5.6,247342,6495
7.5,3620.6,5,247573,6511
7.9,3621.9,4.9,247816,6590
8.4,3633.6,4.9,248067,6630
8.5,3643.3,4.8,248281,6725
7.7,3684.2,4.9,248479,6667
7.9,3730.7,5.1,248659,6752
8.5,3728.2,5.3,248827,6651
8.3,3754.9,5.1,249012,6598
8.7,3770,4.8,249306,6797
8.7,3775.8,5.2,249565,6742
8.6,3804.5,5.2,249849,6590
8.7,3821.7,5.4,250132,6922
8.1,3848.3,5.4,250439,7188
8.1,3870.1,5.6,250751,7368
7.9,3870.6,5.8,251057,7459
8,3871.9,5.7,251346,7764
8.8,3861.3,5.9,251626,7901
9.4,3841,6,251889,8015
9,3866.7,6.2,252135,8265
8.1,3913,6.7,252372,8586
8.7,3907.1,6.6,252643,8439
8.5,3933.2,6.4,252913,8736
9,3940.5,6.9,253207,8692
8.4,3966,7,253493,8586
8.7,3969.1,7.3,253807,8666
8.9,3984.7,6.8,254126,8722
9.4,3976,7.2,254435,8842
9.1,4003.6,7.5,254718,8931
9.8,4020.5,7.8,254964,9198
9.5,4084.7,8.1,255214,9283
9.8,4099.5,8.2,255448,9454
9.7,4117,8.3,255703,9460
9.8,4131.5,8.5,255992,9415
9.8,4158.4,8.8,256285,9744
10,4177.1,8.7,256589,10040
9.5,4204.8,8.6,256894,9850
9.6,4220.9,8.8,257232,9787
8.6,4255.3,8.6,257548,9781
7.9,4284.7,9,257861,9398
7.9,4300.5,9,258147,9565
10.5,4336.4,9.3,258413,9557
8.5,4340.7,8.6,258679,9325
8.8,4355.3,8.5,258919,9183
8.8,4352.5,8.5,259152,9056
8.7,4393.4,8.4,259414,9110
8.2,4422.4,8.1,259680,9149
7.7,4440,8.3,259963,9121
7.5,4468.9,8.2,260255,8930
7.6,4481.1,8.2,260566,8763
6.8,4511.5,8.3,260867,8714
6.2,4532.8,8,261163,8750
6.2,4554.1,8.3,261425,8542
9,4571.1,8.3,261674,8477
7,4585.1,8.6,261919,8630
6.4,4632.6,9.2,262123,8583
6.7,4646,9.3,262352,8470
6.3,4671.1,9.1,262631,8331
7.5,4669.5,9.2,262877,7915
6.8,4708.9,9.3,263152,7927
6.9,4720.6,9,263436,7946
6.4,4762.6,8.9,263724,7933
6.7,4775,9.2,264017,7734
7,4812.9,10,264301,7632
6.9,4825.6,9,264559,7375
7,4841.6,8.7,264804,7230
7.3,4851.2,8,265044,7375
7.7,4850.8,8.1,265270,7187
7.4,4885.4,8.3,265495,7153
6.8,4890.2,8.3,265755,7645
7,4933.1,9.1,265998,7430
6.5,4977.5,7.9,266270,7427
6.9,4970.2,8.5,266557,7527
6.6,5005.3,8.3,266843,7484
6.6,5020.5,7.9,267152,7478
7,5013.9,8.2,267456,7328
6.4,5055.6,8,267715,7426
6,5097.5,8.3,267943,7423
6.5,5085.7,8.3,268151,7491
6.6,5132.8,7.8,268364,7313
6.4,5173.3,8.3,268595,7318
5.5,5208,8.6,268853,7415
6.5,5223.8,8.6,269108,7423
6.9,5229.8,8.3,269386,7095
6.5,5251.9,8.3,269667,7337
6.4,5275,8.4,269976,6882
6.4,5296.6,8.5,270284,6979
6.1,5328.5,8.3,270581,7031
6.2,5351.2,7.7,270878,7236
6.1,5378.6,7.8,271125,7253
5.9,5411.1,7.8,271360,7158
6,5434,8.1,271585,7102
6.1,5454.2,7.9,271821,7000
6.2,5459.3,8.3,272083,6873
6.5,5460.2,8,272342,6655
6.3,5494.2,8,272622,6799
5.8,5548.8,8.3,272912,6655
5.7,5587,7.8,273237,6608
5.9,5601.7,8.2,273553,6656
5.9,5637.7,7.7,273852,6454
6.1,5661.1,7.6,274126,6308
6.1,5692.1,7.5,274372,6476
7,5689.9,7.4,274626,6368
7,5723.8,7,274838,6306
7.1,5750.3,6.8,275047,6422
6.9,5788.1,6.7,275304,5941
6.6,5837.9,6,275564,6047
6.5,5871.7,6.9,275836,6212
6.6,5890,6.7,276115,6259
6.5,5925,6.8,276418,6179
6.1,5965.6,6.7,276714,6300
5.9,5998.8,5.8,277003,6280
6,6015.4,6.6,277277,6100
5.5,6070.5,6.8,277526,6032
6.1,6073.9,6.9,277790,5976
6,6099.2,6.8,277992,6111
5.6,6133,6.8,278198,5783
4.7,6199.5,6.2,278451,6004
4.4,6232.1,6.5,278717,5796
4.3,6260.3,6.3,279001,5951
4.4,6287.6,5.8,279295,6025
4.3,6331.9,6.5,279602,5838
3.7,6386.5,6,279903,5915
4,6411.4,6.1,280203,5778
4.1,6448.7,6.2,280471,5716
3.7,6541,5.8,280716,5653
4.5,6542.9,5.8,280976,5708
4,6625.3,6.1,281190,5858
3.8,6686.5,6,281409,5733
4.3,6679.1,6.1,281653,5481
4.3,6709.7,5.8,281877,5758
4.3,6746.9,5.7,282126,5651
4.7,6768.5,6,282385,5747
4.8,6802.8,6.3,282653,5853
4.1,6888.6,5.2,282932,5625
4.3,6893.8,6.1,283201,5534
4.3,6909.8,6.1,283453,5639
4.1,6952.2,6,283696,5634
4.5,6987.4,5.8,283920,6023
4.6,7001.8,6.1,284137,6089
4.9,6996.7,6.6,284350,6141
4.8,7004.2,5.9,284581,6271
4.3,7052.8,6.3,284810,6226
4.2,7069.7,6,285062,6484
5.4,7082.3,6.8,285309,6583
6.5,7121.7,6.9,285570,7042
6.9,7007,7.2,285843,7142
2.9,7212.9,7.3,286098,7694
3.4,7182.3,7.7,286341,8003
3.7,7166.7,8.2,286570,8258
5.6,7184.6,8.4,286788,8182
5.4,7225.2,8.3,286994,8215
5.5,7243.4,8.4,287190,8304
5.4,7312.5,8.9,287397,8599
6.1,7288.9,9.5,287623,8399
6.1,7322.5,11,287864,8393
5.3,7387.3,8.9,288105,8390
5.2,7412.6,9,288360,8304
5.8,7391.5,9.5,288618,8251
5.6,7435.2,9.6,288870,8307
5.6,7463.8,9.3,289106,8520
5.3,7519.9,9.6,289313,8640
5.3,7541.3,9.6,289518,8520
5.2,7548.6,9.5,289714,8618
4.9,7611.5,9.7,289911,8588
5,7634.5,10.2,290125,8842
5.3,7650.3,9.9,290346,8957
5.1,7699.6,11.5,290584,9266
5.9,7757,10.3,290820,9011
5.7,7852.1,10.1,291072,8896
4.9,7853.7,10.2,291321,8921
5,7867.4,10.4,291574,8732
5,7922.6,10.3,291807,8576
5,7950.4,10.4,292008,8317
4.6,8007.1,10.6,292192,8370
4.6,8040.4,10.2,292368,8167
4.5,8098.8,10.2,292561,8491
4.9,8107.2,9.5,292779,8170
4.8,8176.5,9.9,292997,8212
5.4,8157.6,11,293223,8286
4.7,8236.9,8.9,293463,8136
4.7,8271.6,9.2,293719,7990
4.1,8341.5,9.6,293971,7927
3.9,8397.1,9.5,294230,8061
3.4,8444.5,9.7,294466,7932
6.2,8504.4,9.5,294694,7934
2.7,8497.7,9.4,294914,7784
2.3,8559.1,9.2,295105,7980
2.5,8598.4,9.3,295287,7737
2.1,8678.4,9,295490,7672
2.6,8671.6,9.1,295704,7651
2,8753.4,9,295936,7524
1.4,8853.8,8.8,296186,7406
2,8850.1,9.2,296440,7345
2,8900.4,8.4,296707,7553
2.3,8938.5,8.6,296972,7453
2.6,8946.2,8.5,297207,7566
2.5,8981.1,8.7,297431,7279
3,9071.6,8.6,297647,7064
3.2,9096,9.1,297854,7184
3.3,9132.9,8.7,298060,7072
3.1,9191.6,8.4,298281,7120
2.9,9231.8,8.5,298496,6980
2.9,9259.6,7.3,298739,7001
2.3,9343.8,8,298996,7175
2.5,9342.2,8.4,299263,7091
2.4,9375.4,8,299554,6847
2.4,9393.6,7.9,299835,6727
2.7,9400.2,8.3,300094,6872
2.6,9488.3,7.5,300340,6762
2.4,9538.7,8.3,300574,7116
2.8,9566,8.5,300802,6927
3,9611.7,9.1,301021,6731
3,9643.6,8.6,301254,6850
2.8,9685.8,8.2,301483,6766
2.7,9706.8,7.7,301739,6979
2.6,9751.1,8.7,302004,7149
2.2,9798.9,8.8,302267,7067
2.3,9845.1,8.7,302546,7170
2.2,9882.7,8.4,302807,7237
1.9,9955.9,8.6,303054,7240
2.4,9972.8,8.4,303287,7645
2.6,9996.4,9,303506,7685
3,9981.7,8.7,303711,7497
2.9,10035.3,8.7,303907,7822
2.4,10070.3,9.4,304117,7637
6.8,10132.3,7.9,304323,8395
4.6,10187.1,9,304556,8575
3.6,10185.1,9.7,304798,8937
3.1,10175.7,9.7,305045,9438
3.9,10116.4,10.2,305309,9494
4.9,10034.1,10.4,305554,10074
6,9885.2,9.8,305786,10538
5.8,9801.5,10.5,306004,11286
5.9,9847.2,10.7,306208,12058
5.4,9824.5,11.7,306402,12898
5.8,9773.2,12.3,306588,13426
6.5,9772.5,13.1,306787,13853
7.8,9791.6,14.2,306984,14499
6.1,9852.4,17.2,307206,14707
5.4,9886.3,16,307439,14601
4.4,10004.1,16.3,307685,14814
5.5,9927.8,17.8,307946,15009
5.1,9976.7,18.9,308189,15352
5.5,9985.7,19.8,308418,15219
5.4,10052.6,20.1,308633,15098
5.6,10056.1,20,308833,15046
5.3,10093.4,19.9,309027,15113
5.3,10156,20.4,309212,15202
6,10182.3,22.1,309191.211,15325
6.4,10210.8,22.3,309367.58,14849
6.2,10231.3,25.2,309545.555,14474
6.1,10268.1,22.3,309741.279,14512
6.2,10307.1,21,309951.795,14648
6.1,10327.1,20.3,310168.926,14579
5.9,10386.4,21.2,310390.859,14516
5.8,10433.6,21,310585.106,15081
6.2,10471,21.9,310769.486,14348
6.6,10514.3,21.5,310946.962,14013
6.9,10540.6,21.1,311098.039,13820
6.3,10619.7,21.5,311248.506,13737
6.3,10652.1,20.9,311417.782,13957
6.3,10672.2,21.6,311587.063,13855
6.5,10694.8,22.4,311769.648,13962
6.7,10731.6,22,311973.914,13763
6.7,10750.3,22.4,312180.558,13818
6.4,10783.2,22,312402.633,13948
6.3,10802.9,20.6,312616.001,13594
6.4,10806.8,20.8,312799.689,13302
7.2,10817.8,20.5,312978.205,13093
7.4,10896.8,20.8,313149.997,12797
7.3,10987.2,19.7,313304.12,12813
7.6,10993.9,19.2,313462.838,12713
7.9,11018.5,19.1,313628.923,12646
7.9,11006.8,19.9,313790.652,12660
7.9,10989.8,20.4,313976.041,12692
7,11016.8,17.5,314167.558,12656
6.7,11056,18.4,314377.381,12471
7.2,11105.3,18.8,314600.057,12115
7.8,11137.4,19.9,314805.556,12124
8.7,11178.4,18.6,315003.708,12005
10.9,11181.2,17.7,315180.866,12298
4.9,11252.4,15.8,315335.976,12471
4.7,11290.5,17.2,315464.793,11950
4.8,11290.1,17.6,315605.141,11689
5.1,11281.1,17.1,315759.039,11760
5.3,11321.6,17.1,315923.105,11654
5.4,11344.4,17,316108.76,11751
5.2,11372.6,16.2,316294.766,11335
5.2,11406.6,16.5,316514.531,11279
5.3,11445.9,16.5,316738.543,11270
4.7,11498,16.3,316952.905,11136
4.5,11562.5,17.1,317156.876,10787
4.5,11593.2,17.3,317338.617,10404
5.2,11578.8,15.4,317519.206,10202
5.3,11636.9,15.9,317677.384,10349
5.2,11722.3,15.8,317838.92,10380
5.4,11762.3,15.7,318009.154,9702
5.6,11807.3,14.6,318187.658,9859
5.6,11861.7,13.8,318380.521,9460
5.5,11904.4,13.1,318576.955,9608
5.3,11983.7,12.9,318806.531,9599
5.5,11991.4,13.4,319036.2,9262
5.4,12064.7,13.6,319262.799,8990
5.6,12083.9,13,319471.435,9090
6,12096.1,12.9,319651.541,8717
6.3,12066.7,13.2,319832.19,8885
6.4,12116.6,12.9,319976.213,8599
5.9,12176.1,12,320130.646,8515
5.9,12209.1,11.5,320300.314,8550
5.8,12275.4,11.6,320480.147,8834
5.7,12307.9,11.8,320667.889,8247
5.6,12364.9,10.9,320870.703,8167
5.6,12396.2,11.7,321093.062,7992
5.8,12386.4,11.3,321316.348,7907
5.8,12394.9,11.3,321539.88,7922
5.6,12423.2,11,321741.248,8000
5.8,12452,11,321926.178,7907
6.1,12478,11.3,322114.094,7627
5.6,12554.5,11.3,322277.451,7702
5.9,12537,11.3,322428.943,7961
5.5,12611.5,11.1,322596.809,8067
5.3,12652.7,10.7,322773.714,7652
4.9,12731.2,10.8,322960.309,7744
5.1,12756.7,11.1,323161.011,7641
5.1,12788.1,10.7,323369.427,7784
5.1,12846.6,10.2,323576.012,7953
5.3,12867,10.1,323783.987,7811
5.4,12893,10.3,323968.882,7553
5,13005.9,10.6,324135.365,7521
5.3,13063.7,10.3,324296.746,7468
5.6,13088.4,10.1,324427.384,7379
5.6,13139.9,10.3,324559.999,7073
5.7,13169.2,9.9,324704.641,7089
6.3,13171.9,10.5,324861.316,7000
6,13225.2,10,325027.016,6873
6,13263.3,10.2,325206.03,6892
6.1,13294.6,10.3,325386.457,7082
5.9,13417.3,10.1,325565.293,6854
6,13447.5,9.7,325741.643,6700
5.6,13540.6,9.8,325898.856,6774
5,13666.1,9.3,326036.736,6632
5.7,13703.3,9.7,326163.263,6489
5.8,13738.7,9.2,326268.894,6581
5.9,13793.2,8.8,326377.173,6472
6,13838.4,9.6,326496.848,6459
6,13905,9.2,326628.822,6196
6.3,13930.4,9,326769.726,6447
6.5,13974.8,9.8,326923.976,6195
6.6,14014,9.3,327086.833,6156
6.8,14017.8,9.2,327248.127,6073
6.7,14083.1,9.4,327407.004,6211
6.5,14162.9,8.9,327546.8,6115
8.4,14051.6,9.6,327667.595,6389
8.2,14088.4,9.5,327776.541,6475
8.5,14115.5,9.6,327871.957,6136
7.9,14240.1,9.6,327970.02,6202
7.7,14278.3,9.2,328079.473,5961
7.3,14340.8,9.2,328201.245,5930
7.1,14391.2,9.6,328331.949,5935
6.8,14471.8,8.9,328475.998,6061
7,14525.7,8.7,328646.02,5945
7.2,14555.6,9.2,328814.479,5753
7.3,14584,9,328980.52,5871
7.1,14678.6,8.9,329127.484,5868
6.4,14741.3,9.1,329255.444,5853
7.2,14815.7,10,329371.559,5842
7.7,14810.7,9.3,329474.136,5729
12.5,13793,6,329579.358,7209
32,12228.3,2.1,331711.753,23090
22.7,13251.4,7.7,331686.795,20933
18.4,14027.1,13.5,331714.569,17658
17.9,14285.1,14.7,331773.226,16391
14,14428.4,16.1,331848.069,13498
13.2,14655,17.5,331922.575,12573
12.8,14702.5,19,332009.201,11012
12.1,14675.8,18.4,332072.46,10713
12,14801.8,16.9,332084.586,10772
19.3,15047.3,16.1,332039.558,10196
12.8,14948.2,18.4,331975.432,9992
26.1,15657.6,20.3,331991.389,9734
12.3,15854.1,20.2,332055.217,9801
9.9,15890,19.4,332123.519,9250
8.7,16108.5,19.9,332198.249,9547
9.4,16150.8,14.6,332298.819,8770
8.7,16305.6,14.2,332450.856,8288
7.2,16398.9,13.2,332561.116,7659
6.6,16613.8,12.4,332658.307,7244
6.2,16741.6,12.4,332757.379,6733
6.1,16799.2,11.6,332853.874,6305
4.1,16888.6,10,332928.956,6549
4.1,16999.7,10,332937.514,6279
3.4,17203.6,8.8,333006.084,5993
3.1,17310.5,8.5,333128.441,6034
3.1,17384.8,8.9,333254.05,5966
2.7,17550,8.1,333380.336,5984
3.5,17556.4,8.3,333521.104,5783
3.2,17692.2,8.5,333676.165,5983
3,17804,8.1,333847.542,5755
3,17915.1,8,334003.265,5950
3.3,17892.5,8.4,334139.362,5956
3.4,17943.6,8.3,334272.537,5698
4.4,18229.6,9.8,334380.31,5719
4.7,18296.5,8.9,334485.366,5962
5.2,18282.6,8.4,334601.838,5866
5.2,18363.8,8.7,334726.454,5715
5.3,18407.8,8.9,334858.431,6117
4.8,18485.4,8.8,334999.421,5997
4.4,18595.4,8.9,335160.938,5904
4.5,18651.6,8.8,335335.663,6340
3.9,18791.5,9.1,335526.109,6347
3.8,18826.8,8.6,335697.18,6443
3.7,18903,9,335848.798,6262
3.6,19013.7,9.7,336000.763,6268
4,19028,9.6,336139.132,6124
3.7,19136,9.3,336249.709,6458
3.5,19263.7,9.5,336361.391,6429
3.7,19289.9,8.7,336484.613,6492
3.9,19337.8,8.9,336616.141,6649
